country_date_id,majority,population
176020,NV,43.16
98641,V,86.25
99699,V,78.25
21384,NV,0.00
5211,NV,0.00
158969,V,64.05
82617,NV,48.30
132366,NV,0.00
75047,NV,11.40
165593,V,57.61
30299,NV,5.12
27694,NV,0.00
133479,NV,0.00
48952,NV,0.00
43958,V,88.89
22885,V,68.12
133590,NV,0.00
18521,NV,1.47
10995,NV,0.00
12798,NV,0.00
182335,NV,4.68
98447,V,85.99
8501,NV,0.00
21883,NV,49.13
33214,NV,0.05
127573,NV,0.33
43943,V,88.84
165669,V,57.66
128470,NV,0.00
173527,NV,0.00
127848,NV,5.92
54559,NV,33.60
129470,NV,0.00
182763,NV,0.00
79583,NV,1.05
66043,NV,33.41
19265,NV,0.00
149778,NV,49.48
25698,NV,0.00
134987,NV,44.81
48185,NV,13.28
9130,V,63.67
90979,NV,34.03
128562,NV,0.46
4858,NV,0.00
170069,NV,0.00
149910,V,51.62
124398,NV,1.40
120831,NV,0.00
111856,NV,39.06
126218,NV,0.00
159614,NV,0.00
55943,NV,0.00
58271,NV,0.00
1907,NV,10.75
26079,NV,44.04
169647,NV,3.34
113124,V,70.34
29080,NV,0.00
95324,NV,18.70
75154,NV,23.00
5494,NV,0.00
60798,V,67.37
74830,NV,0.00
20889,NV,44.40
163515,NV,38.49
12836,NV,0.00
4065,NV,43.30
192988,NV,1.79
66439,NV,0.00
139510,V,63.04
24511,NV,0.00
18463,NV,0.00
2758,NV,2.59
159730,NV,0.00
34564,V,74.87
141471,V,56.33
92466,NV,0.00
88941,V,77.81
107530,NV,14.23
89110,V,81.21
17901,V,83.17
151245,NV,0.00
99834,NV,0.00
27737,NV,0.00
20674,NV,3.90
8228,V,80.99
7035,V,53.61
85895,NV,16.80
16161,NV,0.00
114892,NV,0.00
173973,NV,49.09
148580,NV,27.81
63691,NV,0.76
18036,NV,0.00
187968,NV,0.00
126837,NV,16.62
62106,NV,0.00
138642,NV,0.00
185662,V,84.55
43447,NV,0.00
49206,NV,41.56
177341,NV,0.00
148566,NV,26.89
61480,NV,5.75
5305,V,66.98
66104,NV,33.78
64948,V,70.40
135070,V,63.42
145504,NV,26.02
126441,NV,0.48
10990,NV,0.00
125652,V,75.94
72789,NV,0.00
9020,NV,43.75
9749,NV,0.00
23835,NV,7.60
70730,NV,0.00
119253,NV,21.89
9225,V,76.23
194519,NV,0.00
133068,V,62.38
4856,V,50.87
1340,NV,0.00
164587,NV,45.68
18289,NV,0.00
180501,NV,0.00
119209,NV,8.44
88702,NV,22.43
24567,NV,0.00
100427,NV,41.16
130378,NV,0.00
133574,NV,0.00
42028,NV,0.00
134839,NV,1.01
141266,NV,49.03
13948,NV,0.00
92726,NV,0.00
186223,NV,47.04
126567,NV,7.63
81538,NV,39.09
6914,NV,8.08
317,NV,0.00
98015,NV,0.00
9612,NV,0.00
504,NV,22.71
18150,NV,0.00
97904,NV,0.00
13945,NV,0.00
834,V,75.87
171973,NV,12.94
27016,NV,2.90
29536,V,51.27
36040,NV,0.00
143875,NV,0.00
27366,V,95.05
6303,V,103.72
133572,NV,0.00
5917,V,77.63
12155,NV,11.85
174096,V,50.72
129803,NV,41.82
175796,NV,10.66
58738,NV,17.26
164884,NV,0.00
41089,NV,0.00
192861,NV,1.28
64465,NV,0.00
69038,NV,5.76
124623,NV,4.22
140814,NV,0.00
34731,V,87.19
21684,NV,5.24
78678,V,55.79
34207,NV,0.00
142928,NV,0.00
148788,NV,41.18
19632,NV,5.07
127766,NV,5.88
158105,V,64.98
39146,NV,10.96
70556,V,73.56
93776,NV,0.00
27213,V,89.48
118255,V,84.36
76935,NV,0.00
8685,NV,0.00
52415,NV,14.43
31515,V,80.77
3132,NV,21.96
37840,NV,0.17
6013,V,94.36
46880,V,64.87
4133,NV,44.03
47468,NV,0.00
26033,NV,34.27
17792,V,82.74
120155,V,51.15
76911,NV,0.00
11835,NV,0.00
140712,NV,0.00
114030,NV,26.20
90395,NV,0.00
193244,NV,0.00
113478,NV,0.00
110906,V,65.64
192447,NV,0.00
132549,NV,0.00
79253,NV,0.00
74869,NV,0.00
48478,NV,0.00
125588,V,75.51
137839,NV,0.00
94630,NV,0.00
9403,V,76.31
168237,NV,0.00
46056,V,65.53
98722,NV,0.00
67680,NV,0.00
2500,NV,0.00
137465,NV,0.00
38175,NV,0.00
9388,V,76.31
7748,NV,0.00
151405,NV,0.00
140156,NV,0.21
159253,V,70.06
162818,NV,0.00
121221,NV,0.47
20031,NV,26.17
79449,NV,0.60
16707,NV,30.24
148599,NV,30.39
121834,NV,0.00
150163,NV,0.00
110991,V,71.73
103297,NV,0.00
85851,NV,16.28
9047,V,55.50
159237,V,69.91
19347,NV,0.00
93181,NV,46.15
19535,NV,0.31
136231,V,51.49
148174,NV,0.00
47822,NV,0.79
115960,NV,13.70
128055,NV,0.00
103528,NV,8.74
42772,V,70.97
150681,NV,12.08
156334,NV,35.12
33120,NV,0.00
119440,NV,48.19
30883,NV,0.00
108363,NV,0.00
34702,V,86.58
11207,NV,0.00
59626,V,73.30
57897,NV,0.00
39723,NV,14.70
175553,NV,0.00
98859,NV,0.00
111432,NV,0.00
7500,NV,0.00
175468,NV,0.00
9144,V,64.69
107761,V,66.05
133496,NV,0.00
68591,NV,0.00
150739,NV,18.29
94333,NV,16.94
62694,V,67.10
103310,NV,0.00
153634,NV,0.00
12613,V,78.58
195431,NV,0.00
133668,NV,0.00
7117,V,72.75
48379,NV,0.00
183223,NV,1.93
10226,NV,43.98
128723,NV,1.61
9537,NV,0.00
621,V,64.83
75406,NV,45.42
49948,NV,33.78
87706,V,57.25
45026,V,72.00
16510,NV,19.15
3716,NV,10.32
169749,NV,5.74
131251,NV,0.00
17146,NV,0.00
63150,NV,0.00
88112,V,65.12
105939,V,66.87
150589,NV,1.66
124197,NV,0.00
41487,NV,2.41
159743,NV,0.00
14110,NV,0.00
12274,V,70.96
42901,V,79.97
127975,NV,11.37
96562,V,86.86
183224,NV,1.93
168044,NV,0.00
107350,NV,0.00
26253,V,53.82
115755,NV,0.00
20883,NV,42.92
80001,NV,0.00
44553,NV,5.23
87413,NV,0.00
56559,V,84.06
54093,NV,0.00
24853,NV,10.14
23965,NV,33.13
119490,V,50.84
118585,NV,0.00
98047,NV,0.06
19298,NV,0.00
56104,NV,0.00
185871,NV,0.00
37029,NV,4.52
60640,V,55.62
6150,V,101.93
184601,NV,38.17
133663,NV,0.00
63508,NV,0.00
11269,NV,0.00
152652,NV,0.09
180406,V,62.29
168231,NV,0.00
67868,NV,0.56
67050,NV,6.97
116045,NV,30.64
