country_date_id,cases,death
120191,169851,727
54061,183010,10736
33193,625483,16816
141270,2931064,76018
54893,285,0
50150,1105037,3484
157952,82852,2508
6328,1027502,2345
1936,178873,7683
191018,0,0
26507,1469,38
69592,5188890,33750
156220,21544,153
36373,26277,448
55658,10158,103
15912,0,0
156023,24,0
138954,671792,12972
67683,12841,75
19266,11444,328
89650,0,0
39168,24837,386
1359,40159,1489
12359,1701633,26840
111020,82,0
66341,0,0
4929,15404,130
73775,6602,106
166337,1090880,14631
90807,750389,9737
173131,4695207,32995
8715,36819,946
112119,1165984,16074
72615,47605,1835
41033,114,1
126754,157903,4021
127597,5974,201
183486,169396,3628
54177,277797,15898
145347,312811,3554
125413,785039,5574
30948,136997,9181
8642,18429,820
168753,43235,167
102279,2110,85
16448,423629,18193
15328,793693,12458
7504,6694,80
114332,561196,11693
112018,1146041,15575
65077,22150700,198312
155055,1015017,1198
109959,765297,5494
151575,417363,6957
129407,4671,161
168214,167,0
114583,6467,54
42221,32134,340
6330,1028333,2345
173862,17493,125
27845,358,0
12020,648289,19581
101368,611097,8157
10458,793388,9717
65294,4,0
8541,10486,174
24633,5445189,158052
62990,34658,28
143189,837457,16977
71635,17,0
108255,4091,110
179896,5117374,44760
8005,48816,991
33795,4409873,60043
3969,258543,3346
140813,42622,1664
55233,6327,30
91597,88921,1628
179806,2609359,27738
160786,32511,735
79343,21069,588
48021,14541,189
194295,9186,260
167258,17225,659
158810,2767,65
120738,8,0
42478,241240,3168
188929,53,3
92239,9308916,31267
138704,70764,1837
191731,18,1
171054,0,0
141431,5915888,114480
70522,4838811,32894
133853,2758,28
77522,425471,10900
134303,1769694,1972
94785,49528,1090
42937,904934,8525
5310,46535,155
180035,7182943,64264
124427,61171,2244
104973,1,0
151645,494032,7891
51088,353303,4014
12147,1007264,24444
68238,36597,442
47679,6006,63
161756,1942,36
41186,5701,56
67292,168565,1459
142578,833809,4723
40097,6151354,139970
64570,2599789,96640
21457,4414,73
181619,509,21
46700,3099273,79628
195803,133593,4699
9953,236012,3235
30225,11251,99
2461,14634,337
152568,30873,1959
149863,18012019,370449
20059,396524,16074
173310,5954,52
13204,7884,100
46679,2734753,75623
160158,21998,1208
38986,24079,385
101516,928522,9621
90655,328062,4326
52677,7161,297
168721,41147,164
76716,407,26
73551,135,5
183834,149146,3079
108594,69190,808
55122,3208,9
181996,509,21
1813,158084,7356
136853,347641,5987
119098,163087,3384
172349,3564,59
154488,57357,27
137803,1000153,92111
76429,1203068,9282
94590,147,1
144299,0,0
54078,192840,11431
34296,97543,4636
185740,25,1
115500,1094,28
44062,1110948,8530
125502,2257584,26456
124584,85033,2598
108859,165958,958
79102,10127,236
181824,509,21
130664,1678282,17723
79381,22827,649
69199,11863,364
191638,6,1
133285,1000523,12019
42972,1069162,8808
137059,467565,7236
132759,549111,7047
119161,406099,15600
4538,2995,57
34216,92733,4634
184717,369,4
70719,148,1
26440,102609,560
112460,99,4
9883,214711,2499
61887,28176211,143524
52949,210326,14001
14098,2754,68
128558,167375,2118
188042,66656,547
444,8110,77
170467,4888,172
35924,86256,817
32583,3353754,13456
127076,755,37
89835,55456,1241
134318,1789425,2038
93410,1484126,19052
177698,7586,135
74799,3734,109
180496,45,1
69323,12002,365
51166,406021,4202
88986,13373207,156868
160279,26351,1348
102780,7961,294
171310,1996,51
181055,16093,839
28511,60779,21
194121,0,0
172800,2185497,21327
189172,1828,23
162246,12114,130
7734,27972,908
101701,1183450,10543
89919,89014,2236
184900,2033,48
13274,8244,107
